unidad_academica,id_estudiante,estado_civil,sexo,sit_laboral,tipo_residencia,anio_nacimiento,anio_egreso_med
ESCINFO,ESCINFO-1618,1.0,1,NC,-1.0,2001,2016
ESCINFO,ESCINFO-2296,1.0,1,NC,-1.0,2003,2015
ESCINFO,ESCINFO-2298,1.0,1,NC,-1.0,2003,2017
ESCINFO,ESCINFO-2462,1.0,2,NC,-1.0,2002,2017
ESCINFO,ESCINFO-2615,1.0,1,NC,-1.0,2001,2016
ESCINFO,ESCINFO-2645,1.0,2,NC,-1.0,2003,2017
ESCINFO,ESCINFO-2721,1.0,1,NC,-1.0,2003,2017
ESCINFO,ESCINFO-3034,1.0,2,NC,-1.0,2001,2016
ESCINFO,ESCINFO-4195,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-4281,1.0,1,NC,-1.0,2002,2019
ESCINFO,ESCINFO-4956,1.0,1,NC,1.0,2001,2019
ESCINFO,ESCINFO-4958,1.0,1,NC,1.0,2001,2019
ESCINFO,ESCINFO-4987,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5030,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5768,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5249,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5538,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5566,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5444,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-5792,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5645,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5185,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5459,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-5263,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5318,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5625,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5431,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-1213,1.0,1,NC,-1.0,2003,2015
ESCINFO,ESCINFO-840,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-3074,1.0,1,NC,-1.0,2003,2019
ESCINFO,ESCINFO-2318,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-2623,1.0,1,NC,1.0,2002,2019
ESCINFO,ESCINFO-4455,2.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-4359,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-3460,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-4595,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-4835,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-1681,1.0,2,NC,1.0,2003,2019
ESCINFO,ESCINFO-2653,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-3667,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-1532,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-3467,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-1549,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-6432,1.0,2,NC,-1.0,2003,2019
ESCINFO,ESCINFO-4284,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5204,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-1829,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6101,1.0,1,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6257,1.0,2,NC,-1.0,2001,2018
ESCINFO,ESCINFO-6148,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6149,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5476,1.0,1,S,2.0,2002,2018
ESCINFO,ESCINFO-5981,1.0,2,NC,-1.0,2001,2019
ESCINFO,ESCINFO-5926,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6180,1.0,1,NC,-1.0,2003,2018
ESCINFO,ESCINFO-6158,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-5967,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6046,1.0,1,NC,-1.0,2001,2019
ESCINFO,ESCINFO-6410,1.0,2,NC,2.0,2003,2019
ESCINFO,ESCINFO-5882,1.0,1,NC,-1.0,2002,2018
ESCINFO,ESCINFO-5911,1.0,2,NC,-1.0,2002,2019
ESCINFO,ESCINFO-6319,1.0,1,NC,2.0,2001,2018
ESCINFO,ESCINFO-5946,1.0,1,NC,1.0,2004,2020
ESCINFO,ESCINFO-6073,1.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-6311,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6061,1.0,1,NC,-1.0,2001,2018
ESCINFO,ESCINFO-5936,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-5995,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6107,1.0,2,NC,2.0,2002,2018
ESCINFO,ESCINFO-5948,1.0,1,NC,1.0,2003,2018
ESCINFO,ESCINFO-5877,1.0,2,NC,1.0,2001,2019
ESCINFO,ESCINFO-6125,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-5969,1.0,2,NC,1.0,2003,2018
ESCINFO,ESCINFO-6000,1.0,2,NC,-1.0,2003,2018
ESCINFO,ESCINFO-6066,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6090,1.0,2,NC,-1.0,2004,2020
ESCINFO,ESCINFO-6268,1.0,2,NC,-1.0,2002,2018
ESCINFO,ESCINFO-941,1.0,2,NC,-1.0,2002,2018
